Fast-Food Chains,U.S. Systemwide Sales (Millions - U.S Dollars),Average Sales per Unit (Thousands - U.S Dollars),Franchised Stores,Company Stores,2021 Total Units,Total Change in Units from 2020
Arby’s,"4,462","1,309","2,293","1,116","3,409",40
Baskin-Robbins,686,296,"2,317",0,"2,317",102
Bojangles,"1,485","1,924",496,277,773,15
Burger King,"10,033","1,470","7,054",51,"7,105",24
Carl’s Jr.,"1,560","1,400","1,011",47,"1,058",-21
Checkers/Rally’s,931,"1,145",568,266,834,-13
Chick-fil-A,"16,700","6,100","2,650",82,"2,732",155
Chipotle,"7,547","2,641",0,"2,966","2,966",198
Church’s Chicken,776,870,731,161,892,-13
Culver’s,"2,489","3,099",831,6,837,55
Dairy Queen,"4,494","1,036","4,337",2,"4,339",-22
Del Taco,931,"1,551",306,294,600,4
Domino's,"8,641","1,317","6,185",375,"6,560",205
Dunkin',"10,416","1,127","9,244",0,"9,244",161
El Pollo Loco,973,"2,000",292,189,481,1
Firehouse Subs,"1,044",909,"1,101",39,"1,140",9
Five Guys,"2,093","3,172",911,479,"1,390",8
Freddy’s Frozen Custard & Steakburgers,759,"1,842",391,29,420,32
Hardee’s,"2,100","1,117","1,536",198,"1,734",-32
In-N-Out Burger,"1,175","3,200",0,370,370,5
Jack in the Box,"4,077","1,843","2,055",163,"2,218",-23
Jersey Mike’s,"2,203","1,145","2,087",13,"2,100",246
Jimmy John’s,"2,301",866,"2,616",41,"2,657",48
KFC,"5,100","1,408","3,906",47,"3,953",10
Krispy Kreme,996,"4,000",51,307,358,6
Little Caesars,"4,185","1,000","3,601",580,"4,181",-28
Marco’s Pizza,899,934,957,45,"1,002",48
McAlister’s Deli,869,"1,866",472,33,505,24
McDonald’s,"45,960","3,420","12,775",663,"13,438",244
Moe’s Southwest Grill,661,"1,073",658,1,659,-22
Panda Express,"4,452","2,173",147,"2,187","2,334",150
Panera Bread,"5,650","2,700","1,130",950,"2,080",-25
Papa Johns,"3,486","1,147","2,564",600,"3,164",30
Papa Murphy’s,809,643,"1,213",27,"1,240",-53
Pizza Hut,"5,500","1,022","6,526",22,"6,548",-13
Popeyes Louisiana Kitchen,"4,775","1,867","2,716",41,"2,754",146
QDOBA,835,"1,006",406,333,739,2
Raising Cane’s,"2,377","4,893",23,544,567,58
Shake Shack,777,"3,679",25,218,243,38
Sonic Drive-In,"5,835","1,643","3,232",320,"3,552",26
Starbucks,"24,300","1,200","6,497","8,953","15,450",113
Subway,"9,350",438,"21,147",0,"21,147","-1,043"
Taco Bell,"12,600","1,823","6,540",462,"7,002",203
Tim Hortons,687,"1,200",637,0,637,4
Tropical Smoothie Cafe,948,"1,009","1,038",1,"1,039",125
Wendy's,"11,111","1,895","5,535",403,"5,938",57
Whataburger,"3,089","3,640",131,742,873,29
White Castle,615,"1,749",0,349,349,-6
Wingstop,"2,278","1,592","1,498",36,"1,534",175
Zaxby’s,"2,233","2,484",761,147,908,3
